,nomor_surat,judul_surat,nilai_bobot,judul_surat_tokens,judul_tokens_fdist,judul_tokens_WSW,judul_tokens_stemmed
0,U10/197/D.66/X1/2020,surat keterangan sebagai dosen pembimbing,2,"['surat', 'keterangan', 'sebagai', 'dosen', 'pembimbing']",<FreqDist with 5 samples and 5 outcomes>,"['surat', 'keterangan', 'dosen', 'pembimbing']","['surat', 'terang', 'dosen', 'bimbing']"
1,R.5/543/D.65/VII/2021,surat tugas lktia  dr fitri indriani mpdi,1,"['surat', 'tugas', 'lktia', 'dr', 'fitri', 'indriani', 'mpdi']",<FreqDist with 7 samples and 7 outcomes>,"['surat', 'tugas', 'lktia', 'fitri', 'indriani', 'mpdi']","['surat', 'tugas', 'lktia', 'fitri', 'indriani', 'mpdi']"
2,R/361/D.66/XI/2020,surat tugas lkmm menengah,1,"['surat', 'tugas', 'lkmm', 'menengah']",<FreqDist with 4 samples and 4 outcomes>,"['surat', 'tugas', 'lkmm', 'menengah']","['surat', 'tugas', 'lkmm', 'tengah']"
3,U10/33/D.65/II/2021,surat tugas kegiatan tanggap bencana,1,"['surat', 'tugas', 'kegiatan', 'tanggap', 'bencana']",<FreqDist with 5 samples and 5 outcomes>,"['surat', 'tugas', 'kegiatan', 'tanggap', 'bencana']","['surat', 'tugas', 'giat', 'tanggap', 'bencana']"
4,U10/29/D.65/II/2021,surat tugas tim piket posko tanggep bencana,1,"['surat', 'tugas', 'tim', 'piket', 'posko', 'tanggep', 'bencana']",<FreqDist with 7 samples and 7 outcomes>,"['surat', 'tugas', 'tim', 'piket', 'posko', 'tanggep', 'bencana']","['surat', 'tugas', 'tim', 'piket', 'posko', 'tanggep', 'bencana']"
5,U10/141/D.6/VI/2021,surat permohonan izin kegiatan uad awards bidang kemahasiswaan dan alumni,0,"['surat', 'permohonan', 'izin', 'kegiatan', 'uad', 'awards', 'bidang', 'kemahasiswaan', 'dan', 'alumni']",<FreqDist with 10 samples and 10 outcomes>,"['surat', 'permohonan', 'izin', 'kegiatan', 'uad', 'awards', 'bidang', 'kemahasiswaan', 'alumni']","['surat', 'mohon', 'izin', 'giat', 'uad', 'awards', 'bidang', 'mahasiswa', 'alumni']"
6,R.5/215/D.65/VII/2021,surat tugas tim pelatihan dan pembinaan kbmk tahun 2021,1,"['surat', 'tugas', 'tim', 'pelatihan', 'dan', 'pembinaan', 'kbmk', 'tahun', '2021']",<FreqDist with 9 samples and 9 outcomes>,"['surat', 'tugas', 'tim', 'pelatihan', 'pembinaan', 'kbmk', '2021']","['surat', 'tugas', 'tim', 'latih', 'bina', 'kbmk', '2021']"
7,R.5/542/D.65/V/2021,surat tugas lidm  dr fitri indriani mpdi,1,"['surat', 'tugas', 'lidm', 'dr', 'fitri', 'indriani', 'mpdi']",<FreqDist with 7 samples and 7 outcomes>,"['surat', 'tugas', 'lidm', 'fitri', 'indriani', 'mpdi']","['surat', 'tugas', 'lidm', 'fitri', 'indriani', 'mpdi']"
8,R.5/255/D.65/VIII/2021,surat tugas php2d bem fti,1,"['surat', 'tugas', 'php2d', 'bem', 'fti']",<FreqDist with 5 samples and 5 outcomes>,"['surat', 'tugas', 'php2d', 'bem', 'fti']","['surat', 'tugas', 'php2d', 'bem', 'fti']"
9,R.5/409/D.65/VIII/2021,surat tugas dosen pembimbing tim php2d  imm farmasi,1,"['surat', 'tugas', 'dosen', 'pembimbing', 'tim', 'php2d', 'imm', 'farmasi']",<FreqDist with 8 samples and 8 outcomes>,"['surat', 'tugas', 'dosen', 'pembimbing', 'tim', 'php2d', 'imm', 'farmasi']","['surat', 'tugas', 'dosen', 'bimbing', 'tim', 'php2d', 'imm', 'farmasi']"
10,R.5/449/D.65/XI/2021,surat tugas umm championship pencak silat virtual,1,"['surat', 'tugas', 'umm', 'championship', 'pencak', 'silat', 'virtual']",<FreqDist with 7 samples and 7 outcomes>,"['surat', 'tugas', 'umm', 'championship', 'pencak', 'silat', 'virtual']","['surat', 'tugas', 'umm', 'championship', 'pencak', 'silat', 'virtual']"
11,R.5/447/D.65/XI/2021,surat tugas panitia por bapomi diy,1,"['surat', 'tugas', 'panitia', 'por', 'bapomi', 'diy']",<FreqDist with 6 samples and 6 outcomes>,"['surat', 'tugas', 'panitia', 'por', 'bapomi', 'diy']","['surat', 'tugas', 'panitia', 'por', 'bapomi', 'diy']"
12,U10/293/D.65/X/2021,surat tugas lomba 11th airlangga championship tapak suci international virtual open 2021,1,"['surat', 'tugas', 'lomba', '11th', 'airlangga', 'championship', 'tapak', 'suci', 'international', 'virtual', 'open', '2021']",<FreqDist with 12 samples and 12 outcomes>,"['surat', 'tugas', 'lomba', '11th', 'airlangga', 'championship', 'tapak', 'suci', 'international', 'virtual', 'open', '2021']","['surat', 'tugas', 'lomba', '11th', 'airlangga', 'championship', 'tapak', 'suci', 'international', 'virtual', 'open', '2021']"
13,R.5/627/D.65/X/2021,surat tugas pembimbing lomba bakti formica untuk bangsa,1,"['surat', 'tugas', 'pembimbing', 'lomba', 'bakti', 'formica', 'untuk', 'bangsa']",<FreqDist with 8 samples and 8 outcomes>,"['surat', 'tugas', 'pembimbing', 'lomba', 'bakti', 'formica', 'bangsa']","['surat', 'tugas', 'bimbing', 'lomba', 'bakti', 'formica', 'bangsa']"
14,R.5/390/D.65/X/2021,surat tugas sosialisasi anti intoleransi anti kekerasan seksual dan anti perundungan tahap ii,1,"['surat', 'tugas', 'sosialisasi', 'anti', 'intoleransi', 'anti', 'kekerasan', 'seksual', 'dan', 'anti', 'perundungan', 'tahap', 'ii']",<FreqDist with 11 samples and 13 outcomes>,"['surat', 'tugas', 'sosialisasi', 'anti', 'intoleransi', 'anti', 'kekerasan', 'seksual', 'anti', 'perundungan', 'tahap']","['surat', 'tugas', 'sosialisasi', 'anti', 'intoleransi', 'anti', 'keras', 'seksual', 'anti', 'rundung', 'tahap']"
15,R.5/375/D.65/X/2021,surat tugas kotnes robot uad  tim rscuad,1,"['surat', 'tugas', 'kotnes', 'robot', 'uad', 'tim', 'rscuad']",<FreqDist with 7 samples and 7 outcomes>,"['surat', 'tugas', 'kotnes', 'robot', 'uad', 'tim', 'rscuad']","['surat', 'tugas', 'kotnes', 'robot', 'uad', 'tim', 'rscuad']"
16,R.5/375.a/D.65/X/2021,surat tugas kontes robot uad  tim lanange jagad,1,"['surat', 'tugas', 'kontes', 'robot', 'uad', 'tim', 'lanange', 'jagad']",<FreqDist with 8 samples and 8 outcomes>,"['surat', 'tugas', 'kontes', 'robot', 'uad', 'tim', 'lanange', 'jagad']","['surat', 'tugas', 'kontes', 'robot', 'uad', 'tim', 'lanange', 'jagad']"
17,R.5/375.b/D.65/X/2021,surat tugas kontes robot uad  tim aljazari,1,"['surat', 'tugas', 'kontes', 'robot', 'uad', 'tim', 'aljazari']",<FreqDist with 7 samples and 7 outcomes>,"['surat', 'tugas', 'kontes', 'robot', 'uad', 'tim', 'aljazari']","['surat', 'tugas', 'kontes', 'robot', 'uad', 'tim', 'aljazari']"
18,R.5/541/D.65/VII/2021,surat tugas tim pkm   dr fitri indriani mpdi,1,"['surat', 'tugas', 'tim', 'pkm', 'dr', 'fitri', 'indriani', 'mpdi']",<FreqDist with 8 samples and 8 outcomes>,"['surat', 'tugas', 'tim', 'pkm', 'fitri', 'indriani', 'mpdi']","['surat', 'tugas', 'tim', 'pkm', 'fitri', 'indriani', 'mpdi']"
19,U10/349/D.65/XII/2021,surat tugas lomba pencak silat aub cup 1 jatengdiy,1,"['surat', 'tugas', 'lomba', 'pencak', 'silat', 'aub', 'cup', '1', 'jatengdiy']",<FreqDist with 9 samples and 9 outcomes>,"['surat', 'tugas', 'lomba', 'pencak', 'silat', 'aub', 'cup', '1', 'jatengdiy']","['surat', 'tugas', 'lomba', 'pencak', 'silat', 'aub', 'cup', '1', 'jatengdiy']"
20,01/XIV-B/UAD/III/2022,surat peminjaman ruangan  bem uad,0,"['surat', 'peminjaman', 'ruangan', 'bem', 'uad']",<FreqDist with 5 samples and 5 outcomes>,"['surat', 'peminjaman', 'ruangan', 'bem', 'uad']","['surat', 'pinjam', 'ruang', 'bem', 'uad']"
21,R/130/B.12/III/2022,surat tugas rapat kerja pengurus puspresma ptma,1,"['surat', 'tugas', 'rapat', 'kerja', 'pengurus', 'puspresma', 'ptma']",<FreqDist with 7 samples and 7 outcomes>,"['surat', 'tugas', 'rapat', 'pengurus', 'puspresma', 'ptma']","['surat', 'tugas', 'rapat', 'urus', 'puspresma', 'ptma']"
22,R.5/115/D.65/III/2022,surat tugas lomba inovasi program pemberdayaan dan pembangunan desa lip3d  tim 3,1,"['surat', 'tugas', 'lomba', 'inovasi', 'program', 'pemberdayaan', 'dan', 'pembangunan', 'desa', 'lip3d', 'tim', '3']",<FreqDist with 12 samples and 12 outcomes>,"['surat', 'tugas', 'lomba', 'inovasi', 'program', 'pemberdayaan', 'pembangunan', 'desa', 'lip3d', 'tim', '3']","['surat', 'tugas', 'lomba', 'inovasi', 'program', 'daya', 'bangun', 'desa', 'lip3d', 'tim', '3']"
23,R.5/114/D.65/III/2022,surat tugas lomba inovasi program pemberdayaan dan pembangunan desa lip3d  tim 2,1,"['surat', 'tugas', 'lomba', 'inovasi', 'program', 'pemberdayaan', 'dan', 'pembangunan', 'desa', 'lip3d', 'tim', '2']",<FreqDist with 12 samples and 12 outcomes>,"['surat', 'tugas', 'lomba', 'inovasi', 'program', 'pemberdayaan', 'pembangunan', 'desa', 'lip3d', 'tim', '2']","['surat', 'tugas', 'lomba', 'inovasi', 'program', 'daya', 'bangun', 'desa', 'lip3d', 'tim', '2']"
24,R.5/112/D.65/III/2022,surat tugas lomba inovasi program pemberdayaan dan pembangunan desa lip3d  tim 1,1,"['surat', 'tugas', 'lomba', 'inovasi', 'program', 'pemberdayaan', 'dan', 'pembangunan', 'desa', 'lip3d', 'tim', '1']",<FreqDist with 12 samples and 12 outcomes>,"['surat', 'tugas', 'lomba', 'inovasi', 'program', 'pemberdayaan', 'pembangunan', 'desa', 'lip3d', 'tim', '1']","['surat', 'tugas', 'lomba', 'inovasi', 'program', 'daya', 'bangun', 'desa', 'lip3d', 'tim', '1']"
25,R.5/67/D.65/II/2022,surat tugas imss  selma dan thalia,1,"['surat', 'tugas', 'imss', 'selma', 'dan', 'thalia']",<FreqDist with 6 samples and 6 outcomes>,"['surat', 'tugas', 'imss', 'selma', 'thalia']","['surat', 'tugas', 'imss', 'selma', 'thalia']"
26,R.5/63/D.65/II/2022,surat tugas lomba mtqmn uny,1,"['surat', 'tugas', 'lomba', 'mtqmn', 'uny']",<FreqDist with 5 samples and 5 outcomes>,"['surat', 'tugas', 'lomba', 'mtqmn', 'uny']","['surat', 'tugas', 'lomba', 'mtqmn', 'uny']"
27,R.5/198/B.12/I/2022,surat tugas no 198 tim program kreativitas mahasiswa pkm tahun 2022,1,"['surat', 'tugas', 'no', '198', 'tim', 'program', 'kreativitas', 'mahasiswa', 'pkm', 'tahun', '2022']",<FreqDist with 11 samples and 11 outcomes>,"['surat', 'tugas', '198', 'tim', 'program', 'kreativitas', 'mahasiswa', 'pkm', '2022']","['surat', 'tugas', '198', 'tim', 'program', 'kreativitas', 'mahasiswa', 'pkm', '2022']"
28,R/8/D.6/I/2022,surat tugas tim pembuatan sop kekerasan seksual di uad,1,"['surat', 'tugas', 'tim', 'pembuatan', 'sop', 'kekerasan', 'seksual', 'di', 'uad']",<FreqDist with 9 samples and 9 outcomes>,"['surat', 'tugas', 'tim', 'pembuatan', 'sop', 'kekerasan', 'seksual', 'uad']","['surat', 'tugas', 'tim', 'buat', 'sop', 'keras', 'seksual', 'uad']"
29,07/SEKDPMU.KOMISIB/DPMU/UAD/III/2022,surat permintaan barang  dpm uad,0,"['surat', 'permintaan', 'barang', 'dpm', 'uad']",<FreqDist with 5 samples and 5 outcomes>,"['surat', 'permintaan', 'barang', 'dpm', 'uad']","['surat', 'minta', 'barang', 'dpm', 'uad']"
30,010/X-B/UAD/III/2021,surat peminjaman barang  bem uad,0,"['surat', 'peminjaman', 'barang', 'bem', 'uad']",<FreqDist with 5 samples and 5 outcomes>,"['surat', 'peminjaman', 'barang', 'bem', 'uad']","['surat', 'pinjam', 'barang', 'bem', 'uad']"
31,R.5/151/D.65/III/2022,surat tugas festival nasional alquran dan hadits,1,"['surat', 'tugas', 'festival', 'nasional', 'alquran', 'dan', 'hadits']",<FreqDist with 7 samples and 7 outcomes>,"['surat', 'tugas', 'festival', 'nasional', 'alquran', 'hadits']","['surat', 'tugas', 'festival', 'nasional', 'alquran', 'hadits']"
32,R.5/146/D.65/III/2022,surat izin survey lapangan pendidikan lanjut anggota muda madapala angkatan xxvi,1,"['surat', 'izin', 'survey', 'lapangan', 'pendidikan', 'lanjut', 'anggota', 'muda', 'madapala', 'angkatan', 'xxvi']",<FreqDist with 11 samples and 11 outcomes>,"['surat', 'izin', 'survey', 'lapangan', 'pendidikan', 'anggota', 'muda', 'madapala', 'angkatan', 'xxvi']","['surat', 'izin', 'survey', 'lapang', 'didik', 'anggota', 'muda', 'madapala', 'angkat', 'xxvi']"
33,R/57/UAD/III/2022,surat keterangan pembina pkm center 2022,2,"['surat', 'keterangan', 'pembina', 'pkm', 'center', '2022']",<FreqDist with 6 samples and 6 outcomes>,"['surat', 'keterangan', 'pembina', 'pkm', 'center', '2022']","['surat', 'terang', 'bina', 'pkm', 'center', '2022']"
34,006/XVIII-B/BAKAD/III/2022,surat peminjaman ruangan  bem uad,0,"['surat', 'peminjaman', 'ruangan', 'bem', 'uad']",<FreqDist with 5 samples and 5 outcomes>,"['surat', 'peminjaman', 'ruangan', 'bem', 'uad']","['surat', 'pinjam', 'ruang', 'bem', 'uad']"
35,130/BEM-FSBK/PJ/III/2022,surat peminjaman ruang  bem fsbk,0,"['surat', 'peminjaman', 'ruang', 'bem', 'fsbk']",<FreqDist with 5 samples and 5 outcomes>,"['surat', 'peminjaman', 'ruang', 'bem', 'fsbk']","['surat', 'pinjam', 'ruang', 'bem', 'fsbk']"
36,R.5/144/D.65/III/2022,surat tugas kejuaraan bengawan solo national open championship 1,1,"['surat', 'tugas', 'kejuaraan', 'bengawan', 'solo', 'national', 'open', 'championship', '1']",<FreqDist with 9 samples and 9 outcomes>,"['surat', 'tugas', 'kejuaraan', 'bengawan', 'solo', 'national', 'open', 'championship', '1']","['surat', 'tugas', 'juara', 'bengawan', 'solo', 'national', 'open', 'championship', '1']"
37,R.5/133/D.65/III/2022,surat tugas turnamen ingco bola voli,1,"['surat', 'tugas', 'turnamen', 'ingco', 'bola', 'voli']",<FreqDist with 6 samples and 6 outcomes>,"['surat', 'tugas', 'turnamen', 'ingco', 'bola', 'voli']","['surat', 'tugas', 'turnamen', 'ingco', 'bola', 'voli']"
38,16/A.7/KOPMA_UAD/III/2022,surat permohonan perbaikan peralatan  ukm kopma,0,"['surat', 'permohonan', 'perbaikan', 'peralatan', 'ukm', 'kopma']",<FreqDist with 6 samples and 6 outcomes>,"['surat', 'permohonan', 'perbaikan', 'peralatan', 'ukm', 'kopma']","['surat', 'mohon', 'baik', 'alat', 'ukm', 'kopma']"
39,09/X-B/UAD/III/2022,surat peminjaman lapangan kampus 4  bem uad,0,"['surat', 'peminjaman', 'lapangan', 'kampus', '4', 'bem', 'uad']",<FreqDist with 7 samples and 7 outcomes>,"['surat', 'peminjaman', 'lapangan', 'kampus', '4', 'bem', 'uad']","['surat', 'pinjam', 'lapang', 'kampus', '4', 'bem', 'uad']"
40,R.5/196/B.12/IV/2022,surat tugas tim program peningkatan kapasitas organisasi kemahasiswaan ppk ormawa tahun 2022,1,"['surat', 'tugas', 'tim', 'program', 'peningkatan', 'kapasitas', 'organisasi', 'kemahasiswaan', 'ppk', 'ormawa', 'tahun', '2022']",<FreqDist with 12 samples and 12 outcomes>,"['surat', 'tugas', 'tim', 'program', 'peningkatan', 'kapasitas', 'organisasi', 'kemahasiswaan', 'ppk', 'ormawa', '2022']","['surat', 'tugas', 'tim', 'program', 'tingkat', 'kapasitas', 'organisasi', 'mahasiswa', 'ppk', 'ormawa', '2022']"
41,R.5/193/B.12/IV/2022,surat tugas tim penyusun proposal ppk ormawa tahun 2022,1,"['surat', 'tugas', 'tim', 'penyusun', 'proposal', 'ppk', 'ormawa', 'tahun', '2022']",<FreqDist with 9 samples and 9 outcomes>,"['surat', 'tugas', 'tim', 'penyusun', 'proposal', 'ppk', 'ormawa', '2022']","['surat', 'tugas', 'tim', 'susun', 'proposal', 'ppk', 'ormawa', '2022']"
42,02/III-B/UAD/III/2022,surat permintaan barang  bem uad,0,"['surat', 'permintaan', 'barang', 'bem', 'uad']",<FreqDist with 5 samples and 5 outcomes>,"['surat', 'permintaan', 'barang', 'bem', 'uad']","['surat', 'minta', 'barang', 'bem', 'uad']"
43,016/SEKRE/A/GB/UAD/2022,surat peminjaman ruangan  gending bahana,0,"['surat', 'peminjaman', 'ruangan', 'gending', 'bahana']",<FreqDist with 5 samples and 5 outcomes>,"['surat', 'peminjaman', 'ruangan', 'gending', 'bahana']","['surat', 'pinjam', 'ruang', 'gending', 'bahana']"
44,017/XXII-B/CCl5-FH/UAD/III/2022,surat peminjaman barang  community of criminal law study,0,"['surat', 'peminjaman', 'barang', 'community', 'of', 'criminal', 'law', 'study']",<FreqDist with 8 samples and 8 outcomes>,"['surat', 'peminjaman', 'barang', 'community', 'criminal', 'law', 'study']","['surat', 'pinjam', 'barang', 'community', 'criminal', 'law', 'study']"
45,006/SEKRE/A/PAN-UPGRADING/BEMFTI/UAD/III/2022,surat permohonan inventaris  bem fti,0,"['surat', 'permohonan', 'inventaris', 'bem', 'fti']",<FreqDist with 5 samples and 5 outcomes>,"['surat', 'permohonan', 'inventaris', 'bem', 'fti']","['surat', 'mohon', 'inventaris', 'bem', 'fti']"
46,015/VI-B/UAD/III/2022,surat peminjaman ruangan  bem uad,0,"['surat', 'peminjaman', 'ruangan', 'bem', 'uad']",<FreqDist with 5 samples and 5 outcomes>,"['surat', 'peminjaman', 'ruangan', 'bem', 'uad']","['surat', 'pinjam', 'ruang', 'bem', 'uad']"
47,07/SEKRE/A/PAN-UPGRADING/BEMFTI/UAD/III/2022,surat peminjaman barang  bem fti,0,"['surat', 'peminjaman', 'barang', 'bem', 'fti']",<FreqDist with 5 samples and 5 outcomes>,"['surat', 'peminjaman', 'barang', 'bem', 'fti']","['surat', 'pinjam', 'barang', 'bem', 'fti']"
48,011/X-B/UAD/III/2022,surat peminjaman ruangan  bem uad,0,"['surat', 'peminjaman', 'ruangan', 'bem', 'uad']",<FreqDist with 5 samples and 5 outcomes>,"['surat', 'peminjaman', 'ruangan', 'bem', 'uad']","['surat', 'pinjam', 'ruang', 'bem', 'uad']"
49,a.017/MILADXXXIX/MDPL/UAD/IV/2022,surat peminjaman alat  ukm madapala,0,"['surat', 'peminjaman', 'alat', 'ukm', 'madapala']",<FreqDist with 5 samples and 5 outcomes>,"['surat', 'peminjaman', 'alat', 'ukm', 'madapala']","['surat', 'pinjam', 'alat', 'ukm', 'madapala']"
