,nomor_surat,judul_surat,nilai_bobot,judul_surat_tokens,judul_tokens_fdist,judul_tokens_WSW,judul_tokens_stemmed
50,R.5/247.a/D.65/IV/2022,surat tugas kontes robot sepak bola indonesia krsbi 2022  firex,1,"['surat', 'tugas', 'kontes', 'robot', 'sepak', 'bola', 'indonesia', 'krsbi', '2022', 'firex']",<FreqDist with 10 samples and 10 outcomes>,"['surat', 'tugas', 'kontes', 'robot', 'sepak', 'bola', 'indonesia', 'krsbi', '2022', 'firex']","['surat', 'tugas', 'kontes', 'robot', 'sepak', 'bola', 'indonesia', 'krsbi', '2022', 'firex']"
51,R.5/247/D.65/IV/2022,surat tugas kontes robot sepak bola indonesia krsbi 2022  rscuad,1,"['surat', 'tugas', 'kontes', 'robot', 'sepak', 'bola', 'indonesia', 'krsbi', '2022', 'rscuad']",<FreqDist with 10 samples and 10 outcomes>,"['surat', 'tugas', 'kontes', 'robot', 'sepak', 'bola', 'indonesia', 'krsbi', '2022', 'rscuad']","['surat', 'tugas', 'kontes', 'robot', 'sepak', 'bola', 'indonesia', 'krsbi', '2022', 'rscuad']"
52,u10/105/D.65/IV/2022,surat tugas pendampingan ppk ormawa bem fast,1,"['surat', 'tugas', 'pendampingan', 'ppk', 'ormawa', 'bem', 'fast']",<FreqDist with 7 samples and 7 outcomes>,"['surat', 'tugas', 'pendampingan', 'ppk', 'ormawa', 'bem', 'fast']","['surat', 'tugas', 'damping', 'ppk', 'ormawa', 'bem', 'fast']"
53,a.067/Sek/MDPL/UAD/IV/2022,surat permohonan rekomendasi kegiatan  ukm madapala,0,"['surat', 'permohonan', 'rekomendasi', 'kegiatan', 'ukm', 'madapala']",<FreqDist with 6 samples and 6 outcomes>,"['surat', 'permohonan', 'rekomendasi', 'kegiatan', 'ukm', 'madapala']","['surat', 'mohon', 'rekomendasi', 'giat', 'ukm', 'madapala']"
54,20/KPUM-FAI/IV/2022,surat peminjaman tempat  kpum fai,0,"['surat', 'peminjaman', 'tempat', 'kpum', 'fai']",<FreqDist with 5 samples and 5 outcomes>,"['surat', 'peminjaman', 'kpum', 'fai']","['surat', 'pinjam', 'kpum', 'fai']"
55,14/XII-B/UAD/IV/2022,surat peminjaman barang  bem uad,0,"['surat', 'peminjaman', 'barang', 'bem', 'uad']",<FreqDist with 5 samples and 5 outcomes>,"['surat', 'peminjaman', 'barang', 'bem', 'uad']","['surat', 'pinjam', 'barang', 'bem', 'uad']"
56,a.015/MILADXXXIX/MDPL/UAD/IV/2022,surat permohonan akses 24 jam  ukm madapala,0,"['surat', 'permohonan', 'akses', '24', 'jam', 'ukm', 'madapala']",<FreqDist with 7 samples and 7 outcomes>,"['surat', 'permohonan', 'akses', '24', 'jam', 'ukm', 'madapala']","['surat', 'mohon', 'akses', '24', 'jam', 'ukm', 'madapala']"
57,a.016/MIDALXXXIX/MDPL/UAD/IV/2022,surat peminjaman transportasi  ukm madapala,0,"['surat', 'peminjaman', 'transportasi', 'ukm', 'madapala']",<FreqDist with 5 samples and 5 outcomes>,"['surat', 'peminjaman', 'transportasi', 'ukm', 'madapala']","['surat', 'pinjam', 'transportasi', 'ukm', 'madapala']"
58,a.018/MIDALXXXIX/MDPL/UAD/IV/2022,surat peminjaman halaman parkiran utara kampus 1,0,"['surat', 'peminjaman', 'halaman', 'parkiran', 'utara', 'kampus', '1']",<FreqDist with 7 samples and 7 outcomes>,"['surat', 'peminjaman', 'halaman', 'parkiran', 'utara', 'kampus', '1']","['surat', 'pinjam', 'halaman', 'parkir', 'utara', 'kampus', '1']"
59,R.5/247.b/D.65/IV/2022,surat tugas kontes robot sepak bola indonesia krsbi 2022  aljazari,1,"['surat', 'tugas', 'kontes', 'robot', 'sepak', 'bola', 'indonesia', 'krsbi', '2022', 'aljazari']",<FreqDist with 10 samples and 10 outcomes>,"['surat', 'tugas', 'kontes', 'robot', 'sepak', 'bola', 'indonesia', 'krsbi', '2022', 'aljazari']","['surat', 'tugas', 'kontes', 'robot', 'sepak', 'bola', 'indonesia', 'krsbi', '2022', 'aljazari']"
60,27/XV-B/UAD/VI/2022,surat peminjaman barang  mkmu,0,"['surat', 'peminjaman', 'barang', 'mkmu']",<FreqDist with 4 samples and 4 outcomes>,"['surat', 'peminjaman', 'barang', 'mkmu']","['surat', 'pinjam', 'barang', 'mkmu']"
61,R.5/294/D.65/V/2022,surat tugas konferensi nasional sosiologi ix  nona carolina,1,"['surat', 'tugas', 'konferensi', 'nasional', 'sosiologi', 'ix', 'nona', 'carolina']",<FreqDist with 8 samples and 8 outcomes>,"['surat', 'tugas', 'konferensi', 'nasional', 'sosiologi', 'ix', 'nona', 'carolina']","['surat', 'tugas', 'konferensi', 'nasional', 'sosiologi', 'ix', 'nona', 'carolina']"
62,R.5/293/B.12/V/2022,surat tugas pengelola dan pembinaan program kreativitas mahasiswa pkm pendanaan kemdikbud,1,"['surat', 'tugas', 'pengelola', 'dan', 'pembinaan', 'program', 'kreativitas', 'mahasiswa', 'pkm', 'pendanaan', 'kemdikbud']",<FreqDist with 11 samples and 11 outcomes>,"['surat', 'tugas', 'pengelola', 'pembinaan', 'program', 'kreativitas', 'mahasiswa', 'pkm', 'pendanaan', 'kemdikbud']","['surat', 'tugas', 'kelola', 'bina', 'program', 'kreativitas', 'mahasiswa', 'pkm', 'dana', 'kemdikbud']"
63,R.5/292/D.65/V/2022,surat tugas turnamen pesta olahraga antar perguruan tinggi seindonesia,1,"['surat', 'tugas', 'turnamen', 'pesta', 'olahraga', 'antar', 'perguruan', 'tinggi', 'seindonesia']",<FreqDist with 9 samples and 9 outcomes>,"['surat', 'tugas', 'turnamen', 'pesta', 'olahraga', 'perguruan', 'seindonesia']","['surat', 'tugas', 'turnamen', 'pesta', 'olahraga', 'guru', 'indonesia']"
64,R.5/281/D.65/V/2022,surat tugas kegiatan pendidikan dasar resimen mahasiswa mahakarta tahun 2022  ukm menwa,1,"['surat', 'tugas', 'kegiatan', 'pendidikan', 'dasar', 'resimen', 'mahasiswa', 'mahakarta', 'tahun', '2022', 'ukm', 'menwa']",<FreqDist with 12 samples and 12 outcomes>,"['surat', 'tugas', 'kegiatan', 'pendidikan', 'dasar', 'resimen', 'mahasiswa', 'mahakarta', '2022', 'ukm', 'menwa']","['surat', 'tugas', 'giat', 'didik', 'dasar', 'resimen', 'mahasiswa', 'mahakarta', '2022', 'ukm', 'menwa']"
65,01/A/POROS/UAD/V/2020,surat peminjaman ruangan  ukm poros,0,"['surat', 'peminjaman', 'ruangan', 'ukm', 'poros']",<FreqDist with 5 samples and 5 outcomes>,"['surat', 'peminjaman', 'ruangan', 'ukm', 'poros']","['surat', 'pinjam', 'ruang', 'ukm', 'poros']"
66,R.5/259/B.12/V/2022,surat tugas pembinaan dan seleksi internal proposal program peningkatan mahassiwa wirausaha p2mw,1,"['surat', 'tugas', 'pembinaan', 'dan', 'seleksi', 'internal', 'proposal', 'program', 'peningkatan', 'mahassiwa', 'wirausaha', 'p2mw']",<FreqDist with 12 samples and 12 outcomes>,"['surat', 'tugas', 'pembinaan', 'seleksi', 'internal', 'proposal', 'program', 'peningkatan', 'mahassiwa', 'wirausaha', 'p2mw']","['surat', 'tugas', 'bina', 'seleksi', 'internal', 'proposal', 'program', 'tingkat', 'mahassiwa', 'wirausaha', 'p2mw']"
67,R.5/247.d/D.65/IV/2022,surat tugas kotnes robot sepak bola indonesia krsbi 2022  sagotra,1,"['surat', 'tugas', 'kotnes', 'robot', 'sepak', 'bola', 'indonesia', 'krsbi', '2022', 'sagotra']",<FreqDist with 10 samples and 10 outcomes>,"['surat', 'tugas', 'kotnes', 'robot', 'sepak', 'bola', 'indonesia', 'krsbi', '2022', 'sagotra']","['surat', 'tugas', 'kotnes', 'robot', 'sepak', 'bola', 'indonesia', 'krsbi', '2022', 'sagotra']"
68,R.5/247.c/D.65/IV/2022,surat tugas kotnes robot sepak bola indonesia krsbi 2022  lanange jagad,1,"['surat', 'tugas', 'kotnes', 'robot', 'sepak', 'bola', 'indonesia', 'krsbi', '2022', 'lanange', 'jagad']",<FreqDist with 11 samples and 11 outcomes>,"['surat', 'tugas', 'kotnes', 'robot', 'sepak', 'bola', 'indonesia', 'krsbi', '2022', 'lanange', 'jagad']","['surat', 'tugas', 'kotnes', 'robot', 'sepak', 'bola', 'indonesia', 'krsbi', '2022', 'lanange', 'jagad']"
69,R.5/307/D.65/VI/2022,surat turgas turnamen pesta olahraga antar perguruan tinggi seindonesia cabang futsal  ukm futsal,1,"['surat', 'turgas', 'turnamen', 'pesta', 'olahraga', 'antar', 'perguruan', 'tinggi', 'seindonesia', 'cabang', 'futsal', 'ukm', 'futsal']",<FreqDist with 12 samples and 13 outcomes>,"['surat', 'turgas', 'turnamen', 'pesta', 'olahraga', 'perguruan', 'seindonesia', 'cabang', 'futsal', 'ukm', 'futsal']","['surat', 'turgas', 'turnamen', 'pesta', 'olahraga', 'guru', 'indonesia', 'cabang', 'futsal', 'ukm', 'futsal']"
70,41/XV-B/UAD/VI/2022,surat peminjaman barang  mkmu,0,"['surat', 'peminjaman', 'barang', 'mkmu']",<FreqDist with 4 samples and 4 outcomes>,"['surat', 'peminjaman', 'barang', 'mkmu']","['surat', 'pinjam', 'barang', 'mkmu']"
71,R.5/349/B.12/VI/2022,surat tugas andalan awards 2022,1,"['surat', 'tugas', 'andalan', 'awards', '2022']",<FreqDist with 5 samples and 5 outcomes>,"['surat', 'tugas', 'andalan', 'awards', '2022']","['surat', 'tugas', 'andal', 'awards', '2022']"
72,R.5/348/B.12/VI/2022,surat tugas tim sosialisasi rekrutmen pendampignan dan seleksi lidm,1,"['surat', 'tugas', 'tim', 'sosialisasi', 'rekrutmen', 'pendampignan', 'dan', 'seleksi', 'lidm']",<FreqDist with 9 samples and 9 outcomes>,"['surat', 'tugas', 'tim', 'sosialisasi', 'rekrutmen', 'pendampignan', 'seleksi', 'lidm']","['surat', 'tugas', 'tim', 'sosialisasi', 'rekrutmen', 'pendampignan', 'seleksi', 'lidm']"
73,"R.5/347/B,12.VI/2022",surat tugas tim sosialisasi rekrutmen dan pembinaan gemastik,1,"['surat', 'tugas', 'tim', 'sosialisasi', 'rekrutmen', 'dan', 'pembinaan', 'gemastik']",<FreqDist with 8 samples and 8 outcomes>,"['surat', 'tugas', 'tim', 'sosialisasi', 'rekrutmen', 'pembinaan', 'gemastik']","['surat', 'tugas', 'tim', 'sosialisasi', 'rekrutmen', 'bina', 'gemastik']"
74,R.5/335/D.65/VI/2022,surat tugas lomba iicmys,1,"['surat', 'tugas', 'lomba', 'iicmys']",<FreqDist with 4 samples and 4 outcomes>,"['surat', 'tugas', 'lomba', 'iicmys']","['surat', 'tugas', 'lomba', 'iicmys']"
75,02/XIII-B/UAD/VI/2022,surat peminjaman ruangan  bem uad,0,"['surat', 'peminjaman', 'ruangan', 'bem', 'uad']",<FreqDist with 5 samples and 5 outcomes>,"['surat', 'peminjaman', 'ruangan', 'bem', 'uad']","['surat', 'pinjam', 'ruang', 'bem', 'uad']"
76,R.5/334/B.12/VI/2022,surat tugas dosen pembimbing lomba walisongo science competition  much fuad saifuddin mpd,1,"['surat', 'tugas', 'dosen', 'pembimbing', 'lomba', 'walisongo', 'science', 'competition', 'much', 'fuad', 'saifuddin', 'mpd']",<FreqDist with 12 samples and 12 outcomes>,"['surat', 'tugas', 'dosen', 'pembimbing', 'lomba', 'walisongo', 'science', 'competition', 'much', 'fuad', 'saifuddin', 'mpd']","['surat', 'tugas', 'dosen', 'bimbing', 'lomba', 'walisongo', 'science', 'competition', 'much', 'fuad', 'saifuddin', 'mpd']"
77,29/XV-B/UAD/VI/2022,surat peminjaman tempat  mkmu,0,"['surat', 'peminjaman', 'tempat', 'mkmu']",<FreqDist with 4 samples and 4 outcomes>,"['surat', 'peminjaman', 'mkmu']","['surat', 'pinjam', 'mkmu']"
78,30/XV-B/UAD/VI/2022,surat peminjaman barang mkmu,0,"['surat', 'peminjaman', 'barang', 'mkmu']",<FreqDist with 4 samples and 4 outcomes>,"['surat', 'peminjaman', 'barang', 'mkmu']","['surat', 'pinjam', 'barang', 'mkmu']"
79,43/IX-B/UAD/IV/2022,surat peminjaman lapangan  bem uad,0,"['surat', 'peminjaman', 'lapangan', 'bem', 'uad']",<FreqDist with 5 samples and 5 outcomes>,"['surat', 'peminjaman', 'lapangan', 'bem', 'uad']","['surat', 'pinjam', 'lapang', 'bem', 'uad']"
80,085/IX-B/UAD/VI/2022,surat peminjaman barang  bem uad,0,"['surat', 'peminjaman', 'barang', 'bem', 'uad']",<FreqDist with 5 samples and 5 outcomes>,"['surat', 'peminjaman', 'barang', 'bem', 'uad']","['surat', 'pinjam', 'barang', 'bem', 'uad']"
81,R.5/526/D.6/VI/2022,surat permohonan izin penelitian  kepala dinas pendidikan kota yogyakarta,0,"['surat', 'permohonan', 'izin', 'penelitian', 'kepala', 'dinas', 'pendidikan', 'kota', 'yogyakarta']",<FreqDist with 9 samples and 9 outcomes>,"['surat', 'permohonan', 'izin', 'penelitian', 'kepala', 'dinas', 'pendidikan', 'kota', 'yogyakarta']","['surat', 'mohon', 'izin', 'teliti', 'kepala', 'dinas', 'didik', 'kota', 'yogyakarta']"
82,11/XIV-B/UAD/VI/2022,surat peminjaman ruangan  bem uad,0,"['surat', 'peminjaman', 'ruangan', 'bem', 'uad']",<FreqDist with 5 samples and 5 outcomes>,"['surat', 'peminjaman', 'ruangan', 'bem', 'uad']","['surat', 'pinjam', 'ruang', 'bem', 'uad']"
83,R.5/356/D.65/VI/2022,surat tugas kejuaran nasional pencak silat perguruan tinggi uny,1,"['surat', 'tugas', 'kejuaran', 'nasional', 'pencak', 'silat', 'perguruan', 'tinggi', 'uny']",<FreqDist with 9 samples and 9 outcomes>,"['surat', 'tugas', 'kejuaran', 'nasional', 'pencak', 'silat', 'perguruan', 'uny']","['surat', 'tugas', 'juar', 'nasional', 'pencak', 'silat', 'guru', 'uny']"
84,R.5/373/D.65/VI/2022,surat tugas turnamen sepak bola muhammadiyah championship 2022  ukm sepak bola,1,"['surat', 'tugas', 'turnamen', 'sepak', 'bola', 'muhammadiyah', 'championship', '2022', 'ukm', 'sepak', 'bola']",<FreqDist with 9 samples and 11 outcomes>,"['surat', 'tugas', 'turnamen', 'sepak', 'bola', 'muhammadiyah', 'championship', '2022', 'ukm', 'sepak', 'bola']","['surat', 'tugas', 'turnamen', 'sepak', 'bola', 'muhammadiyah', 'championship', '2022', 'ukm', 'sepak', 'bola']"
85,040/IX-B/UAD/V/2022,surat peminjaman ruangan  bem uad,0,"['surat', 'peminjaman', 'ruangan', 'bem', 'uad']",<FreqDist with 5 samples and 5 outcomes>,"['surat', 'peminjaman', 'ruangan', 'bem', 'uad']","['surat', 'pinjam', 'ruang', 'bem', 'uad']"
86,050/IX-B/UAD/VI/2022,surat peminjaman ruang  bem uad,0,"['surat', 'peminjaman', 'ruang', 'bem', 'uad']",<FreqDist with 5 samples and 5 outcomes>,"['surat', 'peminjaman', 'ruang', 'bem', 'uad']","['surat', 'pinjam', 'ruang', 'bem', 'uad']"
87,049/IX-B/UAD/VI/2022,surat peminjaman barang  bem uad,0,"['surat', 'peminjaman', 'barang', 'bem', 'uad']",<FreqDist with 5 samples and 5 outcomes>,"['surat', 'peminjaman', 'barang', 'bem', 'uad']","['surat', 'pinjam', 'barang', 'bem', 'uad']"
88,39/XV-B/UAD/VI/2022,surat peminjaman tempat  mkmu,0,"['surat', 'peminjaman', 'tempat', 'mkmu']",<FreqDist with 4 samples and 4 outcomes>,"['surat', 'peminjaman', 'mkmu']","['surat', 'pinjam', 'mkmu']"
89,R.5/401/B.12/VI/2022,surat tugas panitia on mipa tahun 2022,1,"['surat', 'tugas', 'panitia', 'on', 'mipa', 'tahun', '2022']",<FreqDist with 7 samples and 7 outcomes>,"['surat', 'tugas', 'panitia', 'mipa', '2022']","['surat', 'tugas', 'panitia', 'mipa', '2022']"
90,R/024/D.66/II/2021,surat tugas dahlan muda mengabdi 3,1,"['surat', 'tugas', 'dahlan', 'muda', 'mengabdi', '3']",<FreqDist with 6 samples and 6 outcomes>,"['surat', 'tugas', 'dahlan', 'muda', 'mengabdi', '3']","['surat', 'tugas', 'dahlan', 'muda', 'abdi', '3']"
91,R/13/D.6/I/2022,surat tugas tim evaluasi peraturan tata tertib kemahassiwaan di uad,1,"['surat', 'tugas', 'tim', 'evaluasi', 'peraturan', 'tata', 'tertib', 'kemahassiwaan', 'di', 'uad']",<FreqDist with 10 samples and 10 outcomes>,"['surat', 'tugas', 'tim', 'evaluasi', 'peraturan', 'tata', 'tertib', 'kemahassiwaan', 'uad']","['surat', 'tugas', 'tim', 'evaluasi', 'atur', 'tata', 'tertib', 'kemahassiwaan', 'uad']"
92,U10/081/D.65/III/2022,surat keterangan pengurus gendhing bahana 2022,2,"['surat', 'keterangan', 'pengurus', 'gendhing', 'bahana', '2022']",<FreqDist with 6 samples and 6 outcomes>,"['surat', 'keterangan', 'pengurus', 'gendhing', 'bahana', '2022']","['surat', 'terang', 'urus', 'gendhing', 'bahana', '2022']"
93,001/PH-UKM-BV/UAD/I/2022,surat permohonan sk ukm voli 2022,0,"['surat', 'permohonan', 'sk', 'ukm', 'voli', '2022']",<FreqDist with 6 samples and 6 outcomes>,"['surat', 'permohonan', 'sk', 'ukm', 'voli', '2022']","['surat', 'mohon', 'sk', 'ukm', 'voli', '2022']"
94,F5/104/D.68/VI/2022,surat permohonan se akuntansi,0,"['surat', 'permohonan', 'se', 'akuntansi']",<FreqDist with 4 samples and 4 outcomes>,"['surat', 'permohonan', 'akuntansi']","['surat', 'mohon', 'akuntansi']"
95,F5/101/D.68/VI/2022,surat permohonan perpanjangan se mm feb,0,"['surat', 'permohonan', 'perpanjangan', 'se', 'mm', 'feb']",<FreqDist with 6 samples and 6 outcomes>,"['surat', 'permohonan', 'perpanjangan', 'feb']","['surat', 'mohon', 'panjang', 'feb']"
96,09/YIPM/Yk/VI/2022,surat permohonan pasang iklan lowongan  uad,0,"['surat', 'permohonan', 'pasang', 'iklan', 'lowongan', 'uad']",<FreqDist with 6 samples and 6 outcomes>,"['surat', 'permohonan', 'pasang', 'iklan', 'lowongan', 'uad']","['surat', 'mohon', 'pasang', 'iklan', 'lowong', 'uad']"
97,F7.1/118/D.6/V/2022,surat permohonan beasiswa karya fsbk mei 2022,0,"['surat', 'permohonan', 'beasiswa', 'karya', 'fsbk', 'mei', '2022']",<FreqDist with 7 samples and 7 outcomes>,"['surat', 'permohonan', 'beasiswa', 'karya', 'fsbk', 'mei', '2022']","['surat', 'mohon', 'beasiswa', 'karya', 'fsbk', 'mei', '2022']"
98,13/XII-B/UAD/IV/2022,surat permintaan barang  bem uad,0,"['surat', 'permintaan', 'barang', 'bem', 'uad']",<FreqDist with 5 samples and 5 outcomes>,"['surat', 'permintaan', 'barang', 'bem', 'uad']","['surat', 'minta', 'barang', 'bem', 'uad']"
99,001/B/GCC/UAD/VI/2022,surat permohonan kepengurusan,0,"['surat', 'permohonan', 'kepengurusan']",<FreqDist with 3 samples and 3 outcomes>,"['surat', 'permohonan', 'kepengurusan']","['surat', 'mohon', 'urus']"
100,003/PH/SK/PH/BEMF-Ked/VI/2022,surat permohonan penerbitan sk kepengurusan bem fk,0,"['surat', 'permohonan', 'penerbitan', 'sk', 'kepengurusan', 'bem', 'fk']",<FreqDist with 7 samples and 7 outcomes>,"['surat', 'permohonan', 'penerbitan', 'sk', 'kepengurusan', 'bem', 'fk']","['surat', 'mohon', 'terbit', 'sk', 'urus', 'bem', 'fk']"
